year,month,day_endofweek,cityid,initclaims_count_regular,initclaims_rate_regular
2020,1,11,1,13268,.259
2020,1,11,2,22479,.562
2020,1,11,3,4980,.192
2020,1,11,6,3365,.212
2020,1,11,8,2187,.193
2020,1,11,9,1889,.146
2020,1,11,12,1532,.145
2020,1,11,14,3306,.458
2020,1,11,15,586,.084
2020,1,11,18,591,.12
2020,1,11,21,955,.164
2020,1,11,27,846,.21
2020,1,11,29,706,.172
2020,1,11,31,1146,.245
2020,1,11,34,3287,.729
2020,1,11,35,2235,.314
2020,1,11,36,1510,.271
2020,1,11,37,1697,.467
2020,1,11,41,1624,.192
2020,1,11,46,991,.161
2020,1,11,47,2967,.759
2020,1,11,48,1104,.245
2020,1,11,49,407,.16
2020,1,18,1,16551,.323
2020,1,18,2,17185,.429
2020,1,18,3,5805,.224
2020,1,18,6,4198,.264
2020,1,18,8,2051,.181
2020,1,18,9,1726,.134
2020,1,18,12,1912,.181
2020,1,18,14,2034,.282
2020,1,18,15,551,.079
2020,1,18,18,468,.0949
2020,1,18,21,1191,.204
2020,1,18,27,657,.163
2020,1,18,29,594,.145
2020,1,18,31,953,.204
2020,1,18,34,4100,.91
2020,1,18,35,2788,.391
2020,1,18,36,686,.123
2020,1,18,37,399,.11
2020,1,18,41,2025,.24
2020,1,18,46,853,.139
2020,1,18,47,3701,.947
2020,1,18,48,777,.172
2020,1,18,49,358,.141
2020,1,25,1,11635,.227
2020,1,25,2,14484,.362
2020,1,25,3,3827,.147
2020,1,25,6,2951,.186
2020,1,25,8,1773,.157
2020,1,25,9,1616,.125
2020,1,25,12,1344,.128
2020,1,25,14,1676,.232
2020,1,25,15,470,.0674
2020,1,25,18,420,.0852
2020,1,25,21,837,.144
2020,1,25,27,548,.136
2020,1,25,29,534,.13
2020,1,25,31,826,.177
2020,1,25,34,2882,.639
2020,1,25,35,1960,.275
2020,1,25,36,442,.0794
2020,1,25,37,434,.119
2020,1,25,41,1424,.169
2020,1,25,46,732,.119
2020,1,25,47,2602,.666
2020,1,25,48,650,.144
2020,1,25,49,231,.0909
2020,2,1,1,11090,.217
2020,2,1,2,15952,.399
2020,2,1,3,3663,.141
2020,2,1,5,1319,.0571
2020,2,1,6,2813,.177
2020,2,1,8,1949,.172
2020,2,1,9,1408,.109
2020,2,1,12,1281,.122
2020,2,1,14,1994,.276
2020,2,1,15,552,.0791
2020,2,1,18,416,.0844
2020,2,1,21,798,.137
2020,2,1,27,559,.139
2020,2,1,29,539,.131
2020,2,1,31,894,.191
2020,2,1,33,277,.0555
2020,2,1,34,2747,.609
2020,2,1,35,1868,.262
2020,2,1,36,437,.0785
2020,2,1,37,384,.106
2020,2,1,41,1357,.161
2020,2,1,46,721,.117
2020,2,1,47,2480,.634
2020,2,1,48,750,.166
2020,2,1,49,279,.11
2020,2,8,1,10890,.213
2020,2,8,2,13946,.349
2020,2,8,3,3324,.128
2020,2,8,5,1312,.0568
2020,2,8,6,2604,.164
2020,2,8,8,2445,.216
2020,2,8,9,1644,.127
2020,2,8,12,1235,.117
2020,2,8,14,1580,.219
2020,2,8,15,492,.0705
2020,2,8,18,410,.0832
2020,2,8,21,831,.143
2020,2,8,27,529,.131
2020,2,8,29,508,.124
2020,2,8,31,942,.202
2020,2,8,33,260,.0521
2020,2,8,34,1984,.44
2020,2,8,35,1569,.22
2020,2,8,36,551,.0989
2020,2,8,37,311,.0855
2020,2,8,41,1291,.153
2020,2,8,46,682,.111
2020,2,8,47,1835,.469
2020,2,8,48,736,.163
2020,2,8,49,234,.092
2020,2,15,1,11714,.229
2020,2,15,2,13317,.333
2020,2,15,3,2731,.105
2020,2,15,5,1279,.0554
2020,2,15,6,2801,.176
2020,2,15,8,2297,.203
2020,2,15,9,1490,.115
2020,2,15,12,1329,.126
2020,2,15,14,1488,.206
2020,2,15,15,456,.0654
2020,2,15,18,382,.0775
2020,2,15,21,894,.153
2020,2,15,27,507,.126
2020,2,15,29,473,.115
2020,2,15,31,810,.173
2020,2,15,33,226,.0453
2020,2,15,34,2134,.473
2020,2,15,35,1687,.237
2020,2,15,36,620,.111
2020,2,15,37,281,.0773
2020,2,15,41,1389,.164
2020,2,15,46,645,.105
2020,2,15,47,1973,.505
2020,2,15,48,804,.178
2020,2,15,49,209,.0822
2020,2,22,1,9431,.184
2020,2,22,2,13141,.329
2020,2,22,3,4009,.155
2020,2,22,5,1074,.0465
2020,2,22,6,2255,.142
2020,2,22,8,1810,.16
2020,2,22,9,1357,.105
2020,2,22,12,1070,.102
2020,2,22,14,1383,.192
2020,2,22,15,441,.0632
2020,2,22,18,348,.0706
2020,2,22,21,720,.123
2020,2,22,27,452,.112
2020,2,22,29,422,.103
2020,2,22,31,802,.172
2020,2,22,33,226,.0453
2020,2,22,34,1718,.381
2020,2,22,35,1358,.191
2020,2,22,36,497,.0892
2020,2,22,37,302,.0831
2020,2,22,41,1118,.132
2020,2,22,46,528,.0859
2020,2,22,47,1589,.406
2020,2,22,48,672,.149
2020,2,22,49,143,.0562
2020,2,29,1,11237,.219
2020,2,29,2,28996,.726
2020,2,29,3,3048,.117
2020,2,29,5,1003,.0434
2020,2,29,6,2687,.169
2020,2,29,8,2139,.189
2020,2,29,9,1400,.108
2020,2,29,12,1275,.121
2020,2,29,14,1319,.183
2020,2,29,15,415,.0595
2020,2,29,18,324,.0657
2020,2,29,21,858,.147
2020,2,29,27,401,.0995
2020,2,29,29,452,.11
2020,2,29,31,914,.196
2020,2,29,33,218,.0437
2020,2,29,34,2047,.454
2020,2,29,35,1619,.227
2020,2,29,36,547,.0982
2020,2,29,37,286,.0787
2020,2,29,41,1332,.158
2020,2,29,46,608,.0989
2020,2,29,47,1893,.484
2020,2,29,48,710,.158
2020,2,29,49,132,.0519
2020,3,7,1,8820,.172
2020,3,7,2,2595,.0644
2020,3,7,3,3027,.117
2020,3,7,5,1090,.0472
2020,3,7,6,2937,.185
2020,3,7,8,2106,.186
2020,3,7,9,1837,.142
2020,3,7,12,1440,.137
2020,3,7,14,667,.0924
2020,3,7,15,502,.072
2020,3,7,18,298,.0605
2020,3,7,21,849,.146
2020,3,7,23,378,.13
2020,3,7,27,111,.0277
2020,3,7,28,273,.0648
2020,3,7,29,471,.115
2020,3,7,31,751,.161
2020,3,7,33,260,.0521
2020,3,7,34,646,.143
2020,3,7,35,1234,.173
2020,3,7,36,369,.0662
2020,3,7,37,296,.0814
2020,3,7,41,1360,.161
2020,3,7,46,661,.108
2020,3,7,47,526,.135
2020,3,7,48,866,.192
2020,3,7,49,123,.0484
2020,3,7,52,269,.0785
2020,3,14,1,11711,.229
2020,3,14,2,2639,.0655
2020,3,14,3,3922,.151
2020,3,14,5,1266,.0548
2020,3,14,6,3900,.245
2020,3,14,8,6070,.536
2020,3,14,9,5834,.452
2020,3,14,12,1911,.181
2020,3,14,14,842,.117
2020,3,14,15,674,.0966
2020,3,14,18,425,.0862
2020,3,14,21,1127,.193
2020,3,14,23,746,.257
2020,3,14,27,126,.0313
2020,3,14,28,611,.145
2020,3,14,29,1213,.296
2020,3,14,31,836,.179
2020,3,14,33,259,.0519
2020,3,14,34,858,.19
2020,3,14,35,1638,.23
2020,3,14,36,440,.0789
2020,3,14,37,456,.125
2020,3,14,41,1806,.214
2020,3,14,46,919,.15
2020,3,14,47,698,.179
2020,3,14,48,1108,.246
2020,3,14,49,174,.0684
